"name","trait","count","percent"
"Solana","BACKGROUND","6001","100"
"Black","FUR","638","10.631561406432262"
"Blue","FUR","282","4.699216797200466"
"Brown","FUR","765","12.747875354107649"
"Cheetah","FUR","269","4.482586235627395"
"Cream","FUR","443","7.382102982836194"
"Dark Brown","FUR","790","13.164472587902015"
"Death Bot","FUR","120","1.9996667222129645"
"Dmt","FUR","103","1.7163806032327946"
"Gold","FUR","60","0.9998333611064822"
"Golden Brown","FUR","497","8.281953007832028"
"Grey","FUR","287","4.78253624395934"
"Noise","FUR","131","2.182969505082486"
"Pink","FUR","300","4.999166805532411"
"Red","FUR","315","5.249125145809032"
"Robot","FUR","183","3.0494917513747706"
"Tan","FUR","360","5.9990001666388935"
"Trippy","FUR","70","1.1664722546242294"
"White","FUR","226","3.7660389935010827"
"Zombie","FUR","162","2.6995500749875023"
"Admirals Coat","CLOTHES","70","1.1664722546242294"
"Bandolier","CLOTHES","117","1.9496750541576406"
"Basc T Black","CLOTHES","133","2.2162972837860355"
"Basc T Red","CLOTHES","129","2.149641726378937"
"Biker Vest","CLOTHES","133","2.2162972837860355"
"Black Coat","CLOTHES","70","1.1664722546242294"
"Black Holes T","CLOTHES","124","2.066322279620063"
"Black T","CLOTHES","172","2.866188968505249"
"Blue Dress","CLOTHES","48","0.7998666888851859"
"Bone Necklace","CLOTHES","89","1.4830861523079486"
"Bone Tee","CLOTHES","105","1.749708381936344"
"Caveman Pelt","CLOTHES","58","0.9665055824029328"
"Cowboy Shirt","CLOTHES","46","0.7665389101816364"
"EMPTY","CLOTHES","1223","20.379936677220464"
"Guayabera","CLOTHES","109","1.8163639393434425"
"Hawaiian","CLOTHES","113","1.8830194967505414"
"Hip Hop","CLOTHES","55","0.9165139143476088"
"Kings Robe","CLOTHES","65","1.0831528078653558"
"Lab Coat","CLOTHES","55","0.9165139143476088"
"Leather Jacket","CLOTHES","102","1.69971671388102"
"Leather Punk Jacket","CLOTHES","129","2.149641726378937"
"Lumberjack Shirt","CLOTHES","106","1.7663722712881187"
"Navy Stripped T","CLOTHES","173","2.882852857857024"
"Pimp Coat","CLOTHES","79","1.3164472587902016"
"Prison Jumpsuit","CLOTHES","125","2.0829861689718383"
"Prom Dress","CLOTHES","62","1.0331611398100315"
"Puffy Vest","CLOTHES","116","1.9330111648058657"
"Rainbow Suspender","CLOTHES","64","1.066488918513581"
"Sailor Shirt","CLOTHES","192","3.1994667555407434"
